Animal number,Dose level (mg/kg/day),Body weight (g),Liver weight (g),Relative liver weight
1,0,561.9,16.35,0.029097704
2,0,397.4,8.74,0.021992954
3,0,426.3,13.671,0.032068966
4,0,470,11.473,0.024410638
5,0,460.3,13.443,0.029204866
6,0,486.2,12.773,0.026271082
7,0,525.1,14.161,0.026968197
8,0,688.8,18.02,0.02616144
9,0,473.7,15.33,0.032362255
10,0,475.6,14.069,0.029581581
11,0,456.9,13.493,0.029531626
12,0,495.5,18.51,0.037356206
13,0 Recovery,480.1,15.147,0.031549677
14,0 Recovery,524.1,13.205,0.025195573
15,0 Recovery,506.8,15.323,0.030234807
16,0 Recovery,455,9.564,0.02101978
17,0 Recovery,535.3,12.423,0.023207547
18,0 Recovery,563.4,13.502,0.023965211
19,30,457.2,14.486,0.031684164
20,30,485.1,22.398,0.046171923
21,30,450.2,16.338,0.036290538
22,30,451.6,18.873,0.041791408
23,30,436.1,17.368,0.039825728
24,30,425.6,16.582,0.038961466
25,30,462.1,16.293,0.035258602
26,30,487.2,19.269,0.039550493
27,30,523.4,15.764,0.030118456
28,30,457.6,17.309,0.037825612
29,30,466.6,12.783,0.027396057
30,30,495.5,16.434,0.033166498
31,100,468.6,20.151,0.043002561
32,100,415.7,20.488,0.049285542
33,100,516.3,17.978,0.034820841
34,100,469,17.908,0.038183369
35,100,437.5,20.568,0.047012571
36,100,500,17.283,0.034566
37,100,485,19.87,0.040969072
38,100,435.3,15.038,0.03454629
39,100,577,30.001,0.051994801
40,100,526.6,23.668,0.04494493
41,100,483.6,22.163,0.045829198
42,100,454.5,18.975,0.041749175
43,300,445.5,24.12,0.054141414
44,300,453.4,19.949,0.043998677
45,300,412.4,21.065,0.051079049
46,300,495.1,25.589,0.051684508
47,300,521.2,22.102,0.042405986
48,300,330.6,17.098,0.051718088
49,300,438.8,17.958,0.040925251
50,300,516.5,26.168,0.050664085
51,300,498.8,20.376,0.04085004
52,300,472.9,21.061,0.044535843
53,300,485.1,19.165,0.039507318
54,300,422.3,26.415,0.06255032
55,300 Recovery,446.6,13.446,0.030107479
56,300 Recovery,486.6,19.789,0.0406679
57,300 Recovery,580.9,14.205,0.024453434
58,300 Recovery,506.4,16.137,0.031866114
59,300 Recovery,467.4,14.498,0.0310184
60,300 Recovery,559.0,17.07,0.030536673
61,1000,390.3,21.621,0.055395849
62,1000,351.5,23.561,0.067029872
63,1000,446,27.119,0.060804933
64,premature death,,,
65,1000,412.6,26.78,0.064905477
66,1000,360.9,18.33,0.050789692
67,1000,358.6,20.662,0.057618516
68,premature death,,,
69,premature death,,,
70,1000,365.7,23.119,0.063218485
71,1000,447.7,26.613,0.059443824
72,1000,318.8,22.747,0.071351945
73,1000 Recovery,446.5,13.29,0.029764838
74,1000 Recovery,475.5,16.599,0.034908517
75,1000 Recovery,481.2,15.514,0.032240233
76,1000 Recovery,513.9,12.784,0.024876435
77,1000 Recovery,516.2,20.08,0.038899651
78,1000 Recovery,418.6,13.45,0.032130913
