,197RDB0069,197RDB0219,197RDB0263,197RDB0162,197RDB0006,197RDB0192,197RDB0268,197RDB0195,197RDBCJ0047,197RDB0067,197RDB0012,197RDB0221,197RDB0269,197RDB0157,197RDBCJ0052,197RDB0190,197RDB0003,197RDB0291,197RDB0293,197RDB0160,197RDB0212,197RDB0005,197RDB0107,197RDB0004,197RDBCJ0056,197RDB0253,197RDBCJ0057,197RDB0281,197RDB0207,197RDB0010,197RDBCJ0065,197RDBCJ0053,197RDB0289,197RDB0077,197RDB0009,197RDB0011,197RDBCJ0061,197RDB0163,197RDB0208,197RDB0249,197RDBCJ0058,197RDB0247,197RDB0158,197RDB0194,197RDB0318,197RDB0184,197RDB0280,197RDB0170,197RDB0432,197RDB0264,197RDB0211,197RDB0073,197RDB0002,197RDB0333,197RDB0070,197RDB0169,197RDB0419,197RDB0299,197RDB0271,197RDB0183,197RDB0363,197RDB0414,197RDB0081,197RDB0365,197RDB0336,197RDB0254,197RDB0119,197RDB0242
ABP1,9.661696879,9.997937381,8.764131571,9.503232526,10.10187532,9.37510936,10.14967679,9.964475355,10.4027533,10.11763533,9.991443839,9.776143866,10.74255513,8.673423698,10.79915782,10.10300034,9.728851623,9.545071297,9.591415819,9.68759273,9.607940869,11.63817114,9.708104537,8.922389091,10.91024304,9.613312312,10.01335231,11.55527698,10.52150469,9.95177282,5.107011133,9.657218331,9.916582934,10.61523523,11.29525046,7.170788182,9.743310731,10.03217315,10.098072,9.912547051,10.69847711,9.376595705,10.03067707,9.10865912,8.278281366,9.860488746,10.85808995,8.753054334,9.685199947,9.106796674,11.58455859,10.40432498,10.00643128,10.0525349,7.506646744,9.906610076,8.943594371,9.557162028,8.406229386,11.23180259,8.669451544,9.440060237,8.872829121,9.169424992,10.92259993,10.96165866,11.27865831,11.03363184
ACYP2,7.82686212,8.218703458,7.419319977,7.249455328,8.111471827,7.888163235,8.01563889,7.982381291,7.727310748,7.667108602,6.881018708,7.034356659,7.825122856,7.536799179,8.048481134,7.940139363,7.438336254,6.822445791,7.932324713,7.495269863,7.66815324,7.626123836,7.632721675,7.575501327,7.645113264,6.886987954,7.839342519,8.035730384,7.217671903,8.401849782,7.614713112,7.906949896,7.899497721,7.804340545,8.065074896,7.790731513,7.615601595,7.346423329,7.794208617,7.549729088,7.120886403,7.217642825,7.607064615,7.270882961,7.077561591,7.565459645,7.482982996,8.114079167,7.712621296,6.505364441,8.028401999,6.920420618,7.67052386,7.839595782,7.55375442,7.708238186,7.858977409,7.818748928,7.173709377,8.082548035,7.87519542,7.558459851,7.213564153,7.837543302,7.824759842,7.806112489,7.093893825,7.998269906
ALAS1,8.835614359,8.72516479,9.399421322,9.124179442,9.820514876,8.550287417,8.368175596,9.234743839,9.490869937,9.191443828,9.254890375,9.061441441,9.166190543,9.093223865,9.467999754,10.15047359,9.016036289,9.30118908,8.735704615,9.418254877,9.167760458,10.06707404,8.280818009,10.30869526,9.112371843,8.977479222,9.155248272,8.631146406,9.255899072,9.196183902,9.146571679,9.28116147,9.574422092,8.909426077,9.567793703,9.480203951,8.821317156,9.660534992,9.081452865,9.033145239,9.915238987,8.626340876,9.401548523,8.947723594,9.574878037,9.170597311,9.557842481,8.89966648,8.926790049,9.657446532,8.94926034,8.990226842,10.00687504,8.403317967,9.124061893,9.248900089,9.458869656,9.442643948,9.827143442,9.670497458,9.041976631,9.434439132,8.507485793,9.085414134,9.838608863,9.350889156,9.811625416,9.606832906
ALDH9A1,10.99394906,11.05495115,10.84562909,11.13435595,10.88521742,11.68572638,10.9026264,11.02683583,10.93264196,11.02122342,10.739147,10.37433388,10.56822046,10.74355386,10.73368542,10.86964623,10.34656116,10.91885171,10.94721665,11.00123609,10.8542715,10.68877259,10.53503582,10.65099593,10.77565832,10.83483578,11.06943198,11.40400268,10.54574537,11.1006373,10.78297204,11.07969205,11.02255169,11.43476431,11.01272257,11.10460481,10.82817774,10.72820998,11.19731752,10.618105,10.81664011,10.71031486,11.0191801,10.67132922,11.15724432,11.02293058,11.05267531,10.59935592,10.99371722,10.93970329,11.02204332,10.90577448,10.61015907,10.72932573,10.77940686,10.86303429,11.14191349,10.86849353,10.08338604,10.65992214,10.36044949,10.8844863,10.48742343,10.96106125,10.66077727,10.85830614,10.91892719,10.57520337
AMOTL2,8.870068281,8.772328204,8.599849753,9.087213505,8.614690533,8.971505151,9.279555062,8.849521553,8.337913562,8.724212546,8.95119839,7.863114785,9.376177971,8.857473717,8.295114165,8.311531003,9.043022233,8.357320567,9.128732956,8.215182904,8.775504765,8.635030744,8.76279893,8.699576826,9.373588802,8.776983352,8.819556518,7.824587511,8.965841711,8.546234608,8.128870405,8.493842803,8.636576077,8.630268815,8.041964876,7.201819514,9.878489134,8.868915982,8.780594256,8.531938103,8.450753035,8.779686802,8.419857176,9.509795902,8.398845962,8.533871286,8.647940207,8.643861876,8.303430513,9.074196981,8.926413393,9.609128452,8.634610979,9.369872551,8.104180858,8.535071599,8.399705922,8.513206164,8.970925453,9.200958306,9.462837209,9.1905702,9.355161066,8.870237116,8.364863507,8.690141562,8.132268071,8.732638408
ANXA3,10.22717793,9.696740305,9.619225335,8.933204883,10.30791258,10.22293155,10.54773158,10.11714221,10.37758693,10.32345467,10.07696681,11.19485467,10.10980037,10.09720063,11.41323704,10.47047393,10.06086692,10.22799554,9.74298433,10.05565058,8.904475073,10.0867174,9.694300843,10.21216463,10.10334021,10.67241661,9.204902512,10.44016836,10.06310921,10.93275297,9.737487846,9.40137207,8.32976417,10.381041,10.48319037,8.671921655,10.42481687,10.35899264,10.47026008,11.07224562,10.08749057,10.72441036,9.725468211,11.20358409,10.90397737,11.07356437,10.11923765,10.29768496,10.85725132,10.31356177,10.8624461,10.22665443,10.12613555,9.69224431,8.945687607,10.07619194,10.89185159,10.65587866,10.12800218,11.26244008,10.56046784,10.75135384,8.207815273,9.987486983,9.439243538,9.628896195,8.888671891,8.721810653
ATXN2,7.670688497,7.966884461,7.85005303,8.1251053,8.344271724,7.924970633,7.704341448,8.106425011,8.014036674,8.098806656,7.244287864,7.558802929,8.532964441,7.73888183,8.448705124,7.618632554,7.972880962,7.423277071,7.936607487,8.040693335,8.111311826,8.003976217,7.501036306,7.847125799,8.115090882,7.92377955,7.958902263,8.472104223,8.006642372,8.018843117,8.057348398,7.87390198,8.056133924,8.045855066,7.877722894,7.454981614,8.276549302,7.644384353,8.161008784,7.952497957,8.434179329,7.685121039,7.536686285,7.752252755,7.921506567,7.96071353,8.134877732,7.966262955,8.278493045,7.534162466,8.289347743,8.025909637,7.696690417,8.128099872,7.821717068,8.076497326,7.966314295,7.795080837,8.046890374,8.07300118,7.855476948,7.797084437,7.444377809,8.300994881,7.972061312,7.90817354,7.97761502,7.630269012
AXIN1,7.577184813,8.345288861,7.956135394,7.514072215,7.719086504,8.42886767,8.368343328,7.974694784,7.549105427,8.336373967,7.841273089,7.784588809,8.341939977,7.95382014,8.091924508,7.740368996,8.041560457,7.658156973,7.850647473,7.858767784,8.185233807,7.904928065,8.291756121,7.499786696,8.241333083,7.569385263,7.854957456,8.054590266,7.456656436,7.818942233,7.623805457,8.297312614,8.126611907,8.329061702,7.986678068,7.851946039,8.090077554,7.608326887,8.533183038,8.217551821,7.860638126,8.027751791,7.595134184,7.55194913,7.819296278,7.883126668,7.552856014,7.605146944,8.000017365,7.916509541,7.620982387,8.015394419,7.65259425,7.740490187,7.473602823,7.983036681,8.193063576,8.562571546,8.022193846,8.309422794,8.01378331,8.390242057,8.009342967,7.771196812,7.81360907,7.765602138,7.791243925,7.928108
BMP4,10.30767664,7.785457748,8.719093871,8.829679184,8.961508486,9.513200172,8.18522147,8.756682339,8.954898056,8.814276001,9.87366023,10.11424626,9.661991867,8.369513084,11.14038139,9.365553741,9.257390507,8.269449678,9.326855702,7.805255973,7.692200662,9.412537845,7.823899355,9.597588623,8.976741095,9.837993184,8.305219092,9.212034789,9.837105608,10.21585277,8.96887017,9.022009132,7.273472612,10.33295777,9.678979683,10.41748789,8.692898361,9.058170293,8.797416107,10.12739532,9.0136894,10.42090512,8.782166722,10.35335442,10.31356965,8.960883029,9.232802851,9.80284541,9.033397464,8.239184116,9.537143786,9.05115853,11.28023012,9.908389485,7.638882526,9.036156812,8.409822398,9.766960163,8.133240723,10.92505948,8.126151107,9.365267047,7.850235329,10.63967648,8.391193656,9.056745146,9.402003534,7.588530547
BSG,9.458213384,9.165623907,9.216097076,9.38409233,8.890155353,8.860404091,9.000733992,8.643014846,9.895032573,9.937078453,9.401327082,9.160897135,8.421106423,9.240536405,9.387375607,9.462714843,9.363720113,9.339342194,8.876210809,9.522663775,8.465173842,8.597863234,9.100003524,8.816280803,8.986092744,8.732284069,8.748990851,8.943970187,8.077889004,9.928890934,9.757572782,9.610423069,9.680070532,9.627330054,9.538832659,9.983789634,8.819167312,8.706728982,9.530142903,8.93018144,9.484736553,8.636133682,9.540789765,8.908121133,8.586984852,8.462299927,9.320332257,9.498583333,9.154540104,8.69724358,9.254870348,8.474982575,8.572364683,8.150698046,8.370814569,8.576640387,9.656667826,8.60841403,9.394830292,9.421174618,8.846358629,9.153449198,8.946972342,9.097887202,9.511419244,9.527812317,9.603277744,9.649196211
